Designator,Mid X,Mid Y,Layer,Rotation
D1,6.64,-8.62,bottom,180
D2,11.52,-27.73,bottom,180
D3,21.04,-46.81,bottom,180
D4,18.55,-65.73,bottom,180
D5,12.76,-8.67,bottom,180
D6,30.5,-27.78,bottom,180
D7,40.02,-46.75,bottom,180
D8,97.24,-46.85,bottom,180
D9,44.83,-8.68,bottom,180
D10,49.61,-27.73,bottom,180
D11,59.18,-46.88,bottom,180
D12,87.75,-27.7,bottom,180
D13,63.93,-8.75,bottom,180
D14,68.73,-27.76,bottom,180
D15,78.15,-46.77,bottom,180
D16,107.62,-8.73,bottom,180
D17,70.31,-8.71,bottom,180
D18,113.93,-27.74,bottom,180
D19,119.85,-44.2,bottom,180
D20,101.34,-8.64,bottom,180